,title,description
0,Apple Pie,"whipped, cheddar, double-crust, upper, be, circular, first, whole, prevent, soggy, deep-dish, top, open-face, unofficial, ==, many, different, popular, fresh, dried, final, vary, unavailable, old, include, due, à, sharp, alongside, American, commercially-prepared, 100-gram, other, significant, table, early, van, notable, little, compare, modern, simple, standard, soft, den, deeghe, same, fill, typical, wooden, several, clove, put, dry.Traditional, appeltaart, distinct, lemon, Dutch, such, full-cream, common, recipes.The, tart, mixed, Atop, visible, cover, warm, cold, English, see, good, generous, sweetened, dome, allow, downward, avoid, saggy, cooked.In, English-speaking, eaten, hot, own, ice, double, French, sweet, right, upside, See, traditional, Swedish, crumble, sponge, ==, wait, European, become, fruit-bearing, native, small, sour, likely, make, main, available, 18th, new, 18th-century, historian, aboard, British, published, antebellum, various, nineteenth, twentieth, national, pie-eating, patriotic, Russian, keep, high, commercial, Modern, fluted, have, pecan, unincorporated"
1,Bread,"staple, recorded, prominent, large, man-made, significant, be, such, sourdough, high-pressure, Commercial, improve, essential, religious, secular, modern, Teutonic, High, Proto-Germanic, Polish, Finnish, German, Norwegian, Danish, brew, break, broken, ==, prepared, possible, flat, primitive, old, Natufian, northeastern, ubiquitous, rest, multiple, available, early, Airborne, uncooked, Pliny, produce, other, barm, ancient, wine, begin, common, retain, previous, use, intense, mechanical, reduce, high-energy, low, nutritional, European-derived, wheat-flour, rise, high, bread, single, einkorn, Non-wheat, sorghum, make, wheat, gluten.Gluten-free, gluten-related, coeliac, non-coeliac, benefit, gluten-free, Gluten-free, hold, dense, little, compensate, Physical-chemical, phenolic, insoluble, ferulic, relevant, wheat, fungal, diseases.Rye, dehydrodimers.Three, natural, secoisolariciresinol, p-coumaric, commercial, functional, gluten, disulfide, intrachain, elastic-plastic, same, elastic, able, regain, initial, plastic, non-reversible, structural, certain, applied, gas-in-solid, ===, Culinary, many, Bread, olive, various, sweet, savory, culinary, provide, crunchy, thicken, Nutritional, good, dietary, ===, amino, true, potential, colorectal, unoiled, e.g., contain, straight, dough, accurate, consistent, measurement, dry, flour, important, crumb, Hard, table, textured, light, artisan, yeast, CO2, standard, French, retard, primary, final, all-purpose, develop, extended, finished, water-soluble, water-insoluble, mixed, dissolve, form, wet, long, see, no-knead, thin, chainlike, autolyse, have, liquid, contribute, additional, vegetable, individual, much, divide, fat, leavening, tenderize, preserve, strengthen, increase, enhance, restrict, overall, 20-minute, allow, ==, simple, gas-producing, first, self-raising, second, include, acidic, add, quick, American-style, alcoholic, uniform, reliable, pure, Many, own, right, years.The, flour, Other, bake, rising, punch, let, optional, oven.Many, pre-ferment, ferment, flavorful, starter, minimal, expensive, yeasted, poolish, loose-textured, equal, stiff, pâte, sour, lactic, anaerobic, lactobacilli.Sourdough, lactobacilli, need, added, regular, special, yeast-leavened, peasant, fixed, new, next, rapid, unpredictable, beaten, white, inner, main, small, account, bacterial, require, inconsistent, close, cheese-like, fine, mid, 20th, popular, independent, Pressure-Vacuum, bubble, organic, covert, daily, Cultural, mere, contemporary, basic, general, economic, do, actual, superficial, panem, productive, kapra, aur, English-speaking, remarkable, revolutionary, sliced, English, refer, different, similar, biblical, portal"
2,Ammonia cookie,"Scandinavian-American, =="
3,Cuisine of Antebellum America,"American, different, cultural, create, specific, regional, define, gastronomical, British, due, healthful, average, several, eating, foreign, civilized, heavy, coarse, indigestible, same, good, much, swallow, enormous, available, appreciate, rapid, European, French, undemocratic, serve, local, tangible, republic, only, palpable, agreeable, show, common, republican, own, consistent, ===, many, able, consume, be, great, Hog-eating, such, poor, antebellum, other, fend, feed, preferred, widespread, Virginian, wild, abundant, supply, inconsiderable, first, recollect, have, single, early, turkey.The, complete, important, essential, safe, drink, ====, public, recent, political, Historian, overall, adequate, proper, elite, notorious, responsible, historian, second, down, few, produce, rise, valuable, literary, particular, make, Scotch-Irish, American-made, duty-free, furnish, sturdy, cheap, get, drunk, rest, nutritious, suitable, new, German-type, replace, English-style, personalized, outsell, ====, ===, numerous, Other, shellfish, fish, international, Sicilian, Vietnamese, gargantuan, southern, hospitable, various, lasting, okra, black-eyed, Early, black, preserve, tremendous, accepted, anesthetic, disinfectant, Anglican, Many, ill-prepared, bad, cheat, ==, Technological, large, technological, Labor-saving, mechanical, modern, portal"
4,Apple butter,"concentrated, slow, deep, shelf, first, large, perfect, conserve, own, apple-butter, popular, 19th, actual, butter-like, soft, seasoned, other, baked, add, interesting, historical, lemon, mixed, provide, small, sweet, traditional, table, array.In, due, necessary, produce, Large, stir, take, only, dense, sweeter, Other, similar, Russian, Polish, final, contain, fresh, black, lé, nièr, consist, mashed, red, apple-growing, such, local, be, fat, reduced-fat, fat-free, vegan, ==, white, unrefined, physical, chemical, Soft, creamy, sweet-and-tart, all-purpose, tartness, ideal, ===, natural, Small, reduce, help, bring, available, same, high, low, free, opened, numerous, dependable, ensure, harmful, infect, spoil, tight, hot, main, acid, little, ===, maintain, inhibit, bacterial, destroy, pre-existing, present, important, wary, frozen, specified, maximize, remove, sufficient, kill, high-acid, allow, grow, Similar, large-scale, mechanical, Special, specific, fit, create, secure, get, rid, require, reach, optimum, several, Thermal, characteristic, common, critical, potential, spoilage-causing, illness-causing, thermal, decrease, last, low-temperature, preserve, exist, unable, participate, contribute, Free, perform, above, achieve, support, microbial, pH, favorable, general, include, commercial, fructose, additive, Canadian, capable, possible, observe, survive, speed, Slight, pose, clear, prior, correspond, nutritional, prepare, particular, ingredient, simple, complicated, vary, 4-15, 4-10, good, certain, use, brown, healthy, give, many, accessory, put, dietary, modern, widespread, prepared, appelstroop, typical, approximate, extra, various, mineral, sugar, ==, borne, enter, pre-packaged, moist, dangerous, multiply, germ, harm, verify, prevent, outside, unsealed, slow, different, condiment, pie, marinate, cooked, have, break, thicken, long, golden, liquid, spreadable, apple-harvest, on-site, huge, open, annual, third, official, documentary, original, easy"
5,Apple sauce,"be, flat, unpeeled, such, inexpensive, European, baking.Commercial, available, ==, fresh, required, acidic, render, popular, fine, lemon, similar, high, main, french, notable, dark, cooked, fat, cooking, homemade, combat, help, have, applesauce"
6,Baked potato,"baked, fluffy, be, such, sour, ground, conventional, electric, on/in, open, special, cook, large, keep, warm, ready, clean, washed, olive, escape, split, due, built, internal, unvented, bake, twelve, oven, vent, suitable, standard, help, retain, result, require, prevent, inedible, rich, dietary, lose, slow, vitamin, continue, long, popular, healthy, ==, scoop, white, interior, various, other, warm, varied, thin, proper, luxurious, Regional, side, similar, optional, many, few, ====, major, early, 20th, unable, sell, hogs, single, weigh, vegetable, edible, rough, difficult, cook.Titus, delicious, purchase, produce, first, promote, wink, top, mid-19th, winter, cheese, chili, bonfire.As, mobile, ===, regional, rural, Armenian, slowly, unseasoned, basic, mixed, unsalted, kaşar, Russian, offer, traditional, fast"
7,Barbecue,"Australian, cooking, refer, social, be, large, specially-designed, many, numerous, regional, low, long, several, moderate, average, direct, dry, ribbed, broth-filled, hot, few, ==, other, Spanish, European, first, use, grill, wooden, certain, flavor.Traditional, whole, make, maguey, African, narrative, smoak, slain, flesh, North, American, 1669-70, British, lay, dictionary, following, standard, modern, such, southeastern, noun, roast, southwestern, native, savage, Several, little, true, notable, false, cannibalistic, present, underlying, potential, associate, classic, fast, high, slow, indirect, similar, typical, significant, moderate-to-high, South, southern, Brazilian, 19th, low-maintenance, forage, semi-wild, capture, cook, wild, pig, traditional, own, eastern, vinegar-based, Lexington-style, western, ketchup, only, mustard-based, heavy, tomato-based, tomato-, hickory, finished, sweet, distinctive, white, northern, popular, pulled, City-style, different, burnt, fish—a, attributable, primary, tangy, outdoor, Maryland-style, barbecue, rare, strong, horseradish, preferred, Western, unusual, communal, political, fund-raising, festive, roasted, particular, bring, serve, small, informal, formal, last, Native, main, public, migrate, same, outside, new, competitive, Competitive, compete, barbecue, vary, big, open, distinct, original, various, reach, desired, internal, ===, smoke, common, control, prominent, ===, surround, much, grilled, possible, braise, electric, simmer, soft, textured, regular, effective, radiant, sear, ==, Other, designate, potato"
8,Bear claw (pastry),"bear, sweet, yeast-raised, similar, Danish, curved, rectangular, partial, name.The, common, Western, American, use, be, small, create, claw-like, separate, separate, ==, regional, =="
9,Beef Manhattan,"dish, eastern, western, unlikely, understand, now-defunct, late, open-faced, corner"
